Emoji,P-value,ethnicity
🙍🏻,2.0498515235307723e-20,not hispanic
⏬,2.0498515235307723e-20,not hispanic
👩🏽‍🎤,2.0498515235307723e-20,not hispanic
🙎🏼‍♀️,2.0498515235307723e-20,not hispanic
👨🏻‍🔧,2.0498515235307723e-20,not hispanic
👩🏾‍✈️,2.0498515235307723e-20,not hispanic
🏇🏽,2.0498515235307723e-20,not hispanic
🙎,2.0498515235307723e-20,not hispanic
👷🏽‍♂️,2.0498515235307723e-20,not hispanic
🧜‍♂️,2.0498515235307723e-20,not hispanic
🏌🏼‍♀️,2.0498515235307723e-20,not hispanic
🤾🏾‍♀️,2.0498515235307723e-20,not hispanic
🔣,2.0498515235307723e-20,not hispanic
🕦,2.0498515235307723e-20,not hispanic
👨🏼‍✈️,2.0498515235307723e-20,not hispanic
🤵🏿,2.0498515235307723e-20,not hispanic
🧷,2.0498515235307723e-20,not hispanic
👨🏾‍🚒,2.0498515235307723e-20,not hispanic
🧘🏽‍♂️,2.0498515235307723e-20,not hispanic
🚵🏼‍♂️,2.0498515235307723e-20,not hispanic
🏊🏻,2.0498515235307723e-20,not hispanic
💂🏾‍♂️,2.0498515235307723e-20,not hispanic
🇵🇭,2.0498515235307723e-20,not hispanic
👳🏾‍♀️,2.0498515235307723e-20,not hispanic
🤱🏾,2.0498515235307723e-20,not hispanic
🧭,2.0498515235307723e-20,not hispanic
🇧🇿,2.0498515235307723e-20,not hispanic
🀄,2.0498515235307723e-20,not hispanic
🇵🇬,2.0498515235307723e-20,not hispanic
🇲🇸,2.0498515235307723e-20,not hispanic
🇰🇮,2.0498515235307723e-20,not hispanic
👳🏻‍♀️,2.0498515235307723e-20,not hispanic
👱🏽‍♀️,2.0498515235307723e-20,not hispanic
🧛🏾‍♂️,2.0498515235307723e-20,not hispanic
🧛🏽‍♂️,2.0498515235307723e-20,not hispanic
🧕🏽,2.0498515235307723e-20,not hispanic
🙆🏿,2.0498515235307723e-20,not hispanic
🦛,2.0498515235307723e-20,not hispanic
👮🏾‍♂️,2.0498515235307723e-20,not hispanic
💂🏾‍♀️,2.0498515235307723e-20,not hispanic
🇻🇨,2.0498515235307723e-20,not hispanic
🧑🏼,2.0498515235307723e-20,not hispanic
🇷🇼,2.0498515235307723e-20,not hispanic
🤲🏿,2.0498515235307723e-20,not hispanic
🚳,2.0498515235307723e-20,not hispanic
↔,2.0498515235307723e-20,not hispanic
👳🏽‍♀️,2.0498515235307723e-20,not hispanic
👨🏽,2.0498515235307723e-20,not hispanic
🤽🏾‍♀️,2.0498515235307723e-20,not hispanic
👆🏿,2.0498515235307723e-20,not hispanic
🇪🇪,2.0498515235307723e-20,not hispanic
🇫🇰,2.0498515235307723e-20,not hispanic
👩🏿‍🎤,2.0498515235307723e-20,not hispanic
🧛🏼‍♂️,2.0498515235307723e-20,not hispanic
👨🏾‍⚕️,2.0498515235307723e-20,not hispanic
🇬🇲,2.0498515235307723e-20,not hispanic
💂🏼‍♀️,2.0498515235307723e-20,not hispanic
💂🏽‍♀️,2.0498515235307723e-20,not hispanic
🇮🇲,2.0498515235307723e-20,not hispanic
👨🏾‍💼,2.0498515235307723e-20,not hispanic
🇨🇽,2.0498515235307723e-20,not hispanic
🇧🇶,2.0498515235307723e-20,not hispanic
👨🏾‍🔬,2.0498515235307723e-20,not hispanic
👳🏽‍♂️,2.0498515235307723e-20,not hispanic
🇬🇦,2.0498515235307723e-20,not hispanic
🇳🇮,2.0498515235307723e-20,not hispanic
📤,2.0498515235307723e-20,not hispanic
🤹🏾‍♀️,2.0498515235307723e-20,not hispanic
🧮,2.0498515235307723e-20,not hispanic
👳‍♂️,2.0498515235307723e-20,not hispanic
🧒🏼,2.0498515235307723e-20,not hispanic
🧾,2.0498515235307723e-20,not hispanic
🏃🏾,2.0498515235307723e-20,not hispanic
👨🏽‍🏫,2.0498515235307723e-20,not hispanic
🙎🏼‍♂️,2.0498515235307723e-20,not hispanic
🧵,2.0498515235307723e-20,not hispanic
🚣🏼,2.0498515235307723e-20,not hispanic
